v1,v2,v3,Target
700.0129569,278.9373853,499.9383022,ABNORMAL
499.9004842,275.1491981,589.9766751,ABNORMAL
699.9875005,279.0599208,499.8259602,ABNORMAL
95.98816907,275.05547,590.9980254,NORMAL
499.9805759,275.0536366,589.9563587,ABNORMAL
54.02421117,279.0678042,592.9085561,NORMAL
53.9531549,500.0376455,590.055112,ABNORMAL
54.00593152,279.1351031,593.0586263,NORMAL
53.8413145,499.9033629,590.1055628,ABNORMAL
500.0327401,275.112551,589.954063,ABNORMAL
53.88497147,499.9827603,589.9092996,ABNORMAL
95.96131703,275.1002643,590.912099,NORMAL
53.89941056,499.8834591,589.908458,ABNORMAL
54.09501805,278.9285098,593.0567274,NORMAL
700.0936526,279.0850915,499.9457009,ABNORMAL
54.01391583,279.0360098,593.0357789,NORMAL
54.06237822,500.0919016,589.948581,ABNORMAL
499.9362258,274.9458371,590.1320435,ABNORMAL
54.09835411,275.0437231,799.7907677,ABNORMAL
53.98923315,500.0834255,589.9506799,ABNORMAL
500.0842771,274.9429397,590.1771658,ABNORMAL
500.2937416,275.0422276,590.0630125,ABNORMAL
54.04326549,500.1815329,590.1007984,ABNORMAL
54.12418596,499.9095375,589.7829835,ABNORMAL
96.3626053,275.0209061,590.9751793,NORMAL
53.93696731,500.0071068,590.0250923,ABNORMAL
700.0861411,278.9330722,499.7552468,ABNORMAL
54.13083129,274.9700249,800.0095897,ABNORMAL
54.1097926,274.8621879,799.9358554,ABNORMAL
53.87580514,279.0015035,593.0954849,NORMAL
53.9953113,499.956028,590.0828461,ABNORMAL
53.91325257,279.1706451,593.1168887,NORMAL
53.94935132,278.9908524,593.1160454,NORMAL
53.94546804,274.9809101,799.819459,ABNORMAL
700.127329,278.8884043,500.1322747,ABNORMAL
96.03793265,274.8149084,591.0173681,NORMAL
53.9791826,278.9044578,592.8493228,NORMAL
54.1931937,278.9238738,593.0175666,NORMAL
699.9079479,278.9998071,500.2129158,ABNORMAL
54.0521647,275.1120154,799.930211,ABNORMAL
500.0219901,275.024861,589.9580964,ABNORMAL
54.06106949,274.9979331,800.0566861,ABNORMAL
700.0866985,279.0835349,500.1071761,ABNORMAL
54.01955533,278.8761203,593.0455356,NORMAL
95.89709761,274.9269523,590.9663705,NORMAL
700.1047818,278.9602481,500.0391743,ABNORMAL
54.10245144,274.923423,799.9832343,ABNORMAL
700.0031286,278.9837025,499.8913932,ABNORMAL
700.0368787,279.1031797,500.0012246,ABNORMAL
700.1234929,278.7635796,500.0514554,ABNORMAL
54.02980823,275.1032539,799.8321677,ABNORMAL
96.0897836,274.8943854,591.0887053,NORMAL
54.01606633,275.0637371,800.1355562,ABNORMAL
700.0172234,278.9316208,499.9157095,ABNORMAL
499.9791251,275.0506129,590.0413529,ABNORMAL
499.8666554,274.9967905,589.9619811,ABNORMAL
53.96668181,499.9294693,589.9993416,ABNORMAL
54.09295712,275.0349783,800.1334665,ABNORMAL
700.08955,278.9335669,499.8478778,ABNORMAL
54.00646862,499.9444042,590.0323286,ABNORMAL
499.9905045,274.9601915,589.8667587,ABNORMAL
54.03257351,275.106822,800.1416123,ABNORMAL
53.95614578,278.9136076,593.0888189,NORMAL
54.09402477,279.0099092,593.073709,NORMAL
699.9699082,278.8937827,500.0074866,ABNORMAL
499.9755275,275.0038822,589.9863639,ABNORMAL
95.94789211,275.0405587,591.2031078,NORMAL
500.1093757,275.18608,589.9625705,ABNORMAL
54.03660558,275.0418748,799.9320016,ABNORMAL
54.05705782,275.1205598,800.0681316,ABNORMAL
499.9097164,274.8934085,590.1261868,ABNORMAL
96.11123442,274.847645,590.9613312,NORMAL
96.03079295,274.9095943,590.8852145,NORMAL
54.06840907,499.8795028,590.0391774,ABNORMAL
53.98073636,500.0321739,590.0749561,ABNORMAL
53.98469702,275.0078096,800.0690677,ABNORMAL
54.00413465,279.0166244,592.9191258,NORMAL
54.0190418,279.0013544,592.972066,NORMAL
700.0020794,278.935861,500.0528448,ABNORMAL
54.08131822,279.006536,593.1287153,NORMAL
54.00827127,278.9231003,592.9374708,NORMAL
96.00238673,275.0268383,591.0443386,NORMAL
53.93652012,274.9674929,799.8471928,ABNORMAL
95.9250976,275.1499741,591.00795,NORMAL
54.00823314,500.0434985,590.0923684,ABNORMAL
499.9941297,275.0022538,590.1196701,ABNORMAL
499.9139139,275.0227592,589.8964153,ABNORMAL
53.98299768,500.1541073,590.0605241,ABNORMAL
95.93261981,274.7755064,591.1374693,NORMAL
53.84923376,278.8923838,593.1799587,NORMAL
54.14106136,499.8879262,589.9570325,ABNORMAL
53.94299204,274.9425654,800.0553024,ABNORMAL
54.04179762,274.9694609,800.0536307,ABNORMAL
96.19557502,274.9010025,590.9969323,NORMAL
500.0465782,274.968703,589.8037545,ABNORMAL
54.02698431,500.1132592,589.8407922,ABNORMAL
699.9460924,279.1187833,500.0696925,ABNORMAL
54.07384245,275.106637,800.104313,ABNORMAL
53.91114973,279.1279875,592.8265292,NORMAL
499.9772723,275.0779186,590.0404274,ABNORMAL
95.94082062,275.1800551,590.9539163,NORMAL
54.06431159,274.8058177,799.922449,ABNORMAL
53.98417307,500.0634926,589.9247518,ABNORMAL
54.05099134,275.19451,800.1719597,ABNORMAL
54.15251106,279.3470093,593.0336957,NORMAL
699.9487228,278.9768072,499.8630587,ABNORMAL
700.1046562,278.8985435,500.0675752,ABNORMAL
54.1853318,500.0334547,589.9480809,ABNORMAL
53.96289152,278.9907965,592.9734815,NORMAL
54.03445946,274.9462203,800.0775443,ABNORMAL
53.89621801,274.8678959,800.197546,ABNORMAL
499.949707,274.9709077,590.008087,ABNORMAL
53.9472377,275.0268053,799.9339724,ABNORMAL
54.05645291,500.1324353,589.8696356,ABNORMAL
54.21475801,499.8940311,589.8934398,ABNORMAL
53.89954363,500.1098239,589.9841251,ABNORMAL
500.1710716,274.8808176,589.977845,ABNORMAL
499.9930965,275.0511621,590.078919,ABNORMAL
53.91980323,275.0952329,799.8923438,ABNORMAL
95.99423778,275.0039091,590.9148847,NORMAL
53.97805216,499.9139608,590.0194437,ABNORMAL
500.0558003,274.9091569,589.8655429,ABNORMAL
54.16083087,274.9910055,800.0737024,ABNORMAL
699.8811642,278.9361891,499.8882965,ABNORMAL
700.0613651,278.824226,500.112606,ABNORMAL
54.10535337,499.9465005,589.8601185,ABNORMAL
54.04643375,279.0834539,593.102772,NORMAL
700.0043402,278.8240466,500.1970379,ABNORMAL
96.15497319,274.9990183,591.1324725,NORMAL
500.1100968,275.0693683,590.0227716,ABNORMAL
53.88682554,278.9635462,593.073292,NORMAL
95.8956495,274.9557323,590.8694606,NORMAL
96.03404619,275.0329419,590.9104707,NORMAL
699.9328652,279.2544784,499.9896948,ABNORMAL
96.06353519,275.0335427,590.9340753,NORMAL
95.97936503,275.145866,591.0811717,NORMAL
499.8372668,275.1024687,589.9839851,ABNORMAL
500.1763139,275.0031769,589.8478598,ABNORMAL
700.1842982,278.8716472,499.9231591,ABNORMAL
499.8708211,274.826253,589.9942151,ABNORMAL
54.10781775,279.0351822,593.1547203,NORMAL
499.881796,274.8579657,590.2410138,ABNORMAL
54.02188744,278.9201158,593.1524019,NORMAL
54.07798962,275.0464729,800.1290848,ABNORMAL
53.83720449,279.1182445,593.0250687,NORMAL
500.0792853,274.9815111,589.8873772,ABNORMAL
95.90890643,275.013753,591.0727621,NORMAL
53.88989872,275.011891,800.0130596,ABNORMAL
499.853184,275.0487381,590.0972026,ABNORMAL
53.87951244,500.0472049,590.1198004,ABNORMAL
700.0057507,278.9446855,500.1429029,ABNORMAL
699.9767539,278.9422987,500.0546052,ABNORMAL
54.08421174,499.9197698,590.0505154,ABNORMAL
96.00766123,274.8909608,591.0179873,NORMAL
54.16246447,499.8905264,590.0915692,ABNORMAL
95.97779592,275.0196932,591.0897084,NORMAL
54.04804212,278.9644982,593.043644,NORMAL
500.1561421,274.9547283,589.9114144,ABNORMAL
499.9641876,275.139046,590.0148573,ABNORMAL
54.03011896,499.9970049,589.9916208,ABNORMAL
96.08287707,275.0841764,591.0614983,NORMAL
499.9745938,275.1475613,589.9418353,ABNORMAL
54.0860517,500.0001409,589.9623745,ABNORMAL
500.0753665,274.9752286,589.9859599,ABNORMAL
95.91255753,274.7789692,590.9492795,NORMAL
95.91541256,275.0708935,590.756485,NORMAL
96.09886052,274.951896,591.0298861,NORMAL
53.9455521,275.0344438,799.8890716,ABNORMAL
53.93297518,500.0945437,589.8182045,ABNORMAL
95.99663388,274.8291274,590.9030208,NORMAL
500.0066976,275.0080355,589.881591,ABNORMAL
53.84462878,278.8823229,592.8716234,NORMAL
54.19128775,500.0547674,590.0525692,ABNORMAL
700.0374657,279.1576553,499.8825032,ABNORMAL
53.86489247,279.1554602,593.0552998,NORMAL
54.05665566,274.9361296,800.0972956,ABNORMAL
500.1279913,275.0345863,590.0267959,ABNORMAL
499.998585,274.9205929,589.8410566,ABNORMAL
500.0367125,274.9737075,589.932768,ABNORMAL
699.9487853,279.1646013,499.9105305,ABNORMAL
96.0950374,274.9888851,591.1393418,NORMAL
53.72567099,500.028176,589.9331148,ABNORMAL
53.99002927,499.9494215,589.9850279,ABNORMAL
499.8317858,274.9308586,590.0098834,ABNORMAL
54.05348512,279.1166999,592.9103558,NORMAL
53.82832165,275.1490953,800.0780097,ABNORMAL
53.94139779,278.9678822,592.8284656,NORMAL
54.14495932,275.0726988,799.9658067,ABNORMAL
53.93584327,279.0041087,592.9166617,NORMAL
54.06286279,275.0946817,800.1991989,ABNORMAL
54.07943113,500.1285294,590.2200486,ABNORMAL
95.95551143,274.9847347,590.9795406,NORMAL
54.04514659,275.0149125,800.1304358,ABNORMAL
499.6519135,274.9932053,590.0158612,ABNORMAL
500.0607133,274.934044,589.9464933,ABNORMAL
699.9479883,278.9578054,500.0016973,ABNORMAL
54.04500639,500.0692814,590.0096914,ABNORMAL
96.08535678,275.0693471,591.0007198,NORMAL
700.0302825,278.9714881,499.97342,ABNORMAL
54.14588475,499.9932607,589.8853375,ABNORMAL
96.02124327,275.113452,590.8950549,NORMAL
53.88722959,279.0725882,592.8795791,NORMAL
699.9590538,279.0513456,499.962512,ABNORMAL
500.011491,274.9585993,589.918713,ABNORMAL
500.1365905,274.8924446,589.8821157,ABNORMAL
699.9492779,278.904947,500.1407461,ABNORMAL
700.074979,279.0055579,499.9646826,ABNORMAL
53.89013605,278.8113366,592.9781007,NORMAL
499.8662428,274.9809055,590.1518657,ABNORMAL
54.09591437,500.1502897,589.8533647,ABNORMAL
54.01877067,278.985185,592.9091765,NORMAL
54.21296865,274.9446884,799.7558674,ABNORMAL
54.05750343,279.0311311,593.017546,NORMAL
700.0261206,278.9402758,499.9993623,ABNORMAL
96.17473633,274.976678,590.8911615,NORMAL
700.1120525,279.154087,500.0377155,ABNORMAL
54.02587063,274.8089718,799.9100595,ABNORMAL
53.88435599,275.007124,799.9950635,ABNORMAL
96.00567939,274.9445589,591.0374172,NORMAL
500.0348098,274.9495512,590.0527487,ABNORMAL
54.13471236,279.0670126,592.9376097,NORMAL
53.92208794,278.8042662,592.9353257,NORMAL
54.00520133,278.8588638,593.0231486,NORMAL
54.05405999,499.9902877,589.9980596,ABNORMAL
53.96947316,500.2093575,589.9952371,ABNORMAL
499.9556677,275.0148386,590.0407527,ABNORMAL
54.13953329,275.0612172,799.8786554,ABNORMAL
54.11607214,275.0743722,799.9930257,ABNORMAL
54.13317954,499.9790766,590.0847121,ABNORMAL
54.02434467,279.0525746,593.0570475,NORMAL
54.01116624,274.8144533,799.9557632,ABNORMAL
54.14615666,278.8443041,593.0365558,NORMAL
53.8367565,499.9444911,589.9854698,ABNORMAL
54.02693145,278.9567058,593.2147239,NORMAL
700.0835767,279.0105884,499.9829502,ABNORMAL
500.0081005,274.8129701,590.0461925,ABNORMAL
53.92292994,278.8821043,593.0921931,NORMAL
54.0448536,278.8937521,593.0952354,NORMAL
54.00277016,278.9940363,593.0685697,NORMAL
95.87403698,275.1068635,591.0108503,NORMAL
96.02947788,275.0491671,590.9978057,NORMAL
53.99918154,278.9319056,592.9383816,NORMAL
54.08643814,499.9483101,589.9982491,ABNORMAL
500.1007786,275.0802895,589.8626848,ABNORMAL
53.96100133,274.9881303,799.8419994,ABNORMAL
499.8613914,275.0398663,589.9714923,ABNORMAL
53.95267473,275.0270895,799.8515297,ABNORMAL
95.9818626,274.9785096,591.0388666,NORMAL
54.15797157,274.8926131,800.0207347,ABNORMAL
700.1108581,279.1403039,500.0117991,ABNORMAL
